https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USDT,tradecount
1655164800000,2022-06-14 00:00:00,AAVE/USDT,59.90000000,64.30000000,53.40000000,62.10000000,436453.96010000,26166237.77680000,97633
1655078400000,2022-06-13 00:00:00,AAVE/USDT,70.30000000,71.10000000,55.20000000,59.90000000,627172.10600000,38184085.23150000,136356
1654992000000,2022-06-12 00:00:00,AAVE/USDT,77.30000000,77.70000000,69.20000000,70.30000000,249385.86900000,18364649.50960000,64287
1654905600000,2022-06-11 00:00:00,AAVE/USDT,88.10000000,89.20000000,75.60000000,77.20000000,185116.05800000,15029440.22690000,57256
1654819200000,2022-06-10 00:00:00,AAVE/USDT,95.80000000,96.90000000,85.40000000,88.20000000,155536.82600000,13994654.38850000,47514
1654732800000,2022-06-09 00:00:00,AAVE/USDT,96.50000000,99.70000000,94.40000000,95.90000000,67220.05200000,6515395.54180000,24365
1654646400000,2022-06-08 00:00:00,AAVE/USDT,99.20000000,101.80000000,95.40000000,96.50000000,97294.42500000,9531412.36510000,36503
1654560000000,2022-06-07 00:00:00,AAVE/USDT,106.00000000,106.30000000,95.80000000,99.30000000,186716.71500000,18635211.18620000,66148
1654473600000,2022-06-06 00:00:00,AAVE/USDT,103.70000000,111.90000000,103.50000000,106.00000000,189493.95400000,20462843.97080000,60138
1654387200000,2022-06-05 00:00:00,AAVE/USDT,106.90000000,107.50000000,103.20000000,103.70000000,89511.47300000,9435294.10000000,28519
1654300800000,2022-06-04 00:00:00,AAVE/USDT,106.90000000,108.00000000,102.60000000,106.90000000,98421.31800000,10357049.57920000,33455
1654214400000,2022-06-03 00:00:00,AAVE/USDT,111.00000000,113.40000000,103.70000000,106.90000000,160603.63800000,17263041.45450000,54501
1654128000000,2022-06-02 00:00:00,AAVE/USDT,106.40000000,112.10000000,103.10000000,110.90000000,203685.03900000,21672614.91650000,58801
1654041600000,2022-06-01 00:00:00,AAVE/USDT,112.90000000,121.00000000,100.70000000,106.30000000,395430.01400000,44386808.35350000,115843
1653955200000,2022-05-31 00:00:00,AAVE/USDT,117.30000000,124.10000000,112.20000000,112.90000000,423146.07900000,49605144.84820000,134336
1653868800000,2022-05-30 00:00:00,AAVE/USDT,95.50000000,123.10000000,94.40000000,117.40000000,439967.89000000,48109754.30160000,126874
1653782400000,2022-05-29 00:00:00,AAVE/USDT,95.50000000,97.30000000,91.70000000,95.50000000,132405.92400000,12514232.35280000,35140
1653696000000,2022-05-28 00:00:00,AAVE/USDT,92.50000000,97.00000000,90.70000000,95.50000000,197711.16200000,18552264.27950000,47838
1653609600000,2022-05-27 00:00:00,AAVE/USDT,101.00000000,102.00000000,89.50000000,92.40000000,484645.55500000,45711306.36430000,115083
1653523200000,2022-05-26 00:00:00,AAVE/USDT,102.10000000,107.00000000,92.30000000,101.00000000,509031.75600000,51195673.30800000,133617
