Date,Open,High,Low,Close,Adj Close,Volume
2017-07-13,58.799999,58.869999,58.119999,58.380001,52.814133,8460200
2017-07-14,58.400002,58.919998,58.279999,58.759998,53.157902,5441400
2017-07-17,58.730000,58.869999,58.279999,58.330002,52.768902,6774500
2017-07-18,58.119999,58.580002,57.689999,58.209999,52.660343,7857500
2017-07-19,58.150002,58.410000,57.900002,58.110001,52.569870,8203600
2017-07-20,58.410000,58.840000,58.000000,58.029999,52.497498,10546700
2017-07-21,57.919998,58.259998,57.830002,57.980000,52.452271,6717200
2017-07-24,58.000000,58.250000,57.930000,58.020000,52.488457,7442600
2017-07-25,58.220001,58.840000,57.980000,58.549999,52.967930,7933100
2017-07-26,58.799999,58.840000,57.779999,57.939999,52.416084,8775900
2017-07-27,58.250000,59.660000,57.930000,59.500000,53.827351,23286700
2017-07-28,55.230000,55.959999,53.410000,54.000000,48.851707,53454800
2017-07-31,54.480000,54.680000,53.950001,53.980000,48.833622,20299400
2017-08-01,54.570000,54.790001,53.970001,54.730000,49.512115,18120900
2017-08-02,54.750000,55.450001,54.669998,55.430000,50.145386,14764900
2017-08-03,55.639999,56.119999,55.500000,55.680000,50.371552,13331500
2017-08-04,55.970001,56.049999,55.090000,55.439999,50.154430,9179800
2017-08-07,55.599998,55.930000,55.419998,55.630001,50.326313,7253900
2017-08-08,55.549999,55.580002,54.360001,54.520000,49.544785,11095300
2017-08-09,54.430000,54.430000,53.299999,53.740002,48.835976,16717700
2017-08-10,53.520000,53.750000,52.990002,53.070000,48.227100,13235300
2017-08-11,53.049999,53.400002,53.049999,53.180000,48.327072,9235000
2017-08-14,53.599998,53.599998,53.180000,53.220001,48.363426,7426500
2017-08-15,53.410000,53.419998,52.889999,53.150002,48.299809,6674600
2017-08-16,53.259998,53.919998,53.250000,53.500000,48.617870,7667100
2017-08-17,53.320000,53.779999,52.990002,53.040001,48.199852,7451700
2017-08-18,52.919998,53.090000,52.580002,52.700001,47.890877,10370500
2017-08-21,53.139999,53.520000,52.799999,53.150002,48.299809,12753200
2017-08-22,53.490002,54.740002,53.389999,54.450001,49.481174,14547600
2017-08-23,53.959999,54.099998,53.650002,54.080002,49.144951,11838500
2017-08-24,54.259998,54.450001,53.770000,53.939999,49.017715,8716700
2017-08-25,54.619999,54.689999,54.189999,54.360001,49.399384,8601100
2017-08-28,54.540001,54.580002,54.020000,54.400002,49.435741,6643700
2017-08-29,54.040001,54.290001,54.000000,54.099998,49.163116,6212400
2017-08-30,54.040001,54.619999,54.040001,54.520000,49.544785,5596600
2017-08-31,54.680000,54.990002,54.570000,54.860001,49.853760,8245300
2017-09-01,54.900002,55.160000,54.880001,54.930000,49.917374,7696300
2017-09-05,54.950001,55.200001,54.599998,55.130001,50.099117,9160500
2017-09-06,55.119999,55.279999,54.130001,54.310001,49.353951,11372300
2017-09-07,54.419998,54.680000,53.250000,53.470001,48.590614,13801900
2017-09-08,53.389999,53.779999,53.049999,53.490002,48.608784,11774500
2017-09-11,53.790001,54.130001,53.610001,54.020000,49.090424,9314100
2017-09-12,53.980000,54.049999,53.330002,53.540001,48.654221,10339400
2017-09-13,53.549999,54.720001,53.490002,54.290001,49.335777,12787900
2017-09-14,54.380001,54.709999,54.099998,54.529999,49.553879,8260800
2017-09-15,54.439999,54.790001,54.160000,54.669998,49.681103,10744800
2017-09-18,54.799999,54.970001,54.570000,54.689999,49.699280,6348400
2017-09-19,54.840000,54.880001,54.560001,54.619999,49.635662,5187100
